Gene,Database,Count,Frequency,Percentage,Genomes
dfrG,AMRfinder,95,95 (88.8%),88.8%,064171_1;064172_2;064173_3;064174_4;064175_5;064176_6;064177_7;064178_8;064179_9;064180_10;064181_11;064182_12;064183_13;064184_14;064185_15;064186_16;064187_17;064188_18;064189_19;064190_20;064191_21;064192_22;064193_23;064194_24;064195_25;064196_26;064197_27;064198_28;064199_29;064201_31;064203_33;064204_34;064205_35;064206_36;064207_37;064209_39;064210_40;064211_41;064212_42;064214_44;064215_45;064217_47;064218_48;064219_49;064220_50;064221_51;064222_52;064224_54;064226_56;064228_58;064230_60;064231_61;064232_62;064233_63;064234_64;064235_65;064236_66;064237_67;064238_68;064239_69;064242_72;064243_73;064244_74;064245_75;064246_76;064247_77;064248_78;064249_79;064250_80;064251_81;064252_82;064253_83;064254_84;064255_85;064256_86;064257_87;064259_89;064260_90;064261_91;064262_92;064264_94;064265_95;064266_96;064267_97;064268_98;064269_99;064270_100;064271_101;064272_102;064273_103;064274_104;064275_105;064276_106;064277_107;235627_59B
blaR1,AMRfinder,92,92 (86.0%),86.0%,064171_1;064172_2;064173_3;064174_4;064175_5;064176_6;064177_7;064178_8;064179_9;064180_10;064181_11;064182_12;064185_15;064186_16;064187_17;064188_18;064189_19;064190_20;064191_21;064192_22;064193_23;064194_24;064195_25;064196_26;064197_27;064198_28;064199_29;064201_31;064202_32;064203_33;064204_34;064205_35;064206_36;064207_37;064209_39;064210_40;064211_41;064212_42;064213_43;064214_44;064215_45;064217_47;064218_48;064219_49;064220_50;064221_51;064222_52;064223_53;064224_54;064226_56;064228_58;064230_60;064231_61;064232_62;064233_63;064234_64;064236_66;064237_67;064238_68;064239_69;064243_73;064244_74;064246_76;064247_77;064248_78;064249_79;064250_80;064251_81;064252_82;064254_84;064255_85;064256_86;064257_87;064259_89;064260_90;064261_91;064262_92;064263_93;064264_94;064265_95;064266_96;064267_97;064268_98;064269_99;064270_100;064271_101;064272_102;064273_103;064274_104;064275_105;064277_107;235627_59B
hlgC,AMRfinder,92,92 (86.0%),86.0%,064171_1;064172_2;064173_3;064174_4;064176_6;064178_8;064179_9;064180_10;064181_11;064182_12;064183_13;064186_16;064187_17;064188_18;064190_20;064191_21;064192_22;064193_23;064195_25;064196_26;064197_27;064198_28;064199_29;064200_30;064201_31;064202_32;064203_33;064204_34;064205_35;064206_36;064208_38;064209_39;064210_40;064211_41;064212_42;064213_43;064214_44;064215_45;064216_46;064217_47;064218_48;064219_49;064220_50;064221_51;064222_52;064223_53;064225_55;064226_56;064227_57;064228_58;064230_60;064231_61;064232_62;064233_63;064234_64;064235_65;064236_66;064237_67;064238_68;064239_69;064240_70;064241_71;064242_72;064243_73;064244_74;064245_75;064247_77;064248_78;064249_79;064251_81;064252_82;064254_84;064257_87;064258_88;064259_89;064260_90;064261_91;064262_92;064263_93;064264_94;064265_95;064267_97;064268_98;064269_99;064271_101;064272_102;064273_103;064274_104;064275_105;064276_106;064277_107;235627_59B
cadD,AMRfinder,85,85 (79.4%),79.4%,064171_1;064172_2;064173_3;064174_4;064175_5;064176_6;064177_7;064178_8;064179_9;064180_10;064181_11;064182_12;064185_15;064186_16;064187_17;064188_18;064189_19;064190_20;064191_21;064193_23;064194_24;064195_25;064196_26;064198_28;064199_29;064201_31;064203_33;064204_34;064205_35;064206_36;064207_37;064209_39;064211_41;064212_42;064213_43;064214_44;064215_45;064217_47;064218_48;064219_49;064220_50;064221_51;064222_52;064223_53;064224_54;064226_56;064228_58;064230_60;064231_61;064232_62;064234_64;064237_67;064238_68;064239_69;064241_71;064243_73;064244_74;064246_76;064247_77;064248_78;064249_79;064250_80;064251_81;064252_82;064255_85;064256_86;064257_87;064260_90;064261_91;064262_92;064263_93;064264_94;064265_95;064266_96;064267_97;064268_98;064269_99;064270_100;064271_101;064272_102;064273_103;064274_104;064275_105;064277_107;235627_59B
blaZ,AMRfinder,82,82 (76.6%),76.6%,064171_1;064172_2;064174_4;064175_5;064176_6;064177_7;064178_8;064179_9;064180_10;064182_12;064183_13;064184_14;064185_15;064186_16;064187_17;064188_18;064189_19;064190_20;064191_21;064192_22;064193_23;064195_25;064196_26;064201_31;064202_32;064203_33;064204_34;064205_35;064206_36;064211_41;064214_44;064215_45;064217_47;064218_48;064219_49;064220_50;064221_51;064222_52;064223_53;064226_56;064228_58;064230_60;064231_61;064232_62;064234_64;064235_65;064236_66;064237_67;064238_68;064239_69;064241_71;064242_72;064243_73;064244_74;064245_75;064246_76;064247_77;064248_78;064249_79;064251_81;064252_82;064253_83;064254_84;064255_85;064256_86;064257_87;064259_89;064261_91;064262_92;064263_93;064264_94;064265_95;064266_96;064267_97;064271_101;064272_102;064273_103;064274_104;064275_105;064276_106;064277_107;235627_59B
lukF-PV,AMRfinder,75,75 (70.1%),70.1%,064171_1;064172_2;064174_4;064175_5;064176_6;064177_7;064178_8;064180_10;064182_12;064183_13;064184_14;064185_15;064186_16;064189_19;064190_20;064191_21;064192_22;064193_23;064194_24;064195_25;064196_26;064198_28;064201_31;064203_33;064204_34;064205_35;064206_36;064207_37;064209_39;064213_43;064215_45;064217_47;064218_48;064220_50;064221_51;064223_53;064224_54;064226_56;064228_58;064230_60;064231_61;064232_62;064234_64;064235_65;064236_66;064237_67;064238_68;064242_72;064243_73;064244_74;064245_75;064246_76;064247_77;064248_78;064249_79;064250_80;064251_81;064252_82;064253_83;064255_85;064256_86;064261_91;064262_92;064264_94;064266_96;064269_99;064270_100;064271_101;064272_102;064273_103;064274_104;064275_105;064276_106;064277_107;235627_59B
lukS-PV,AMRfinder,75,75 (70.1%),70.1%,064171_1;064172_2;064174_4;064175_5;064176_6;064177_7;064178_8;064180_10;064182_12;064183_13;064184_14;064185_15;064186_16;064189_19;064190_20;064191_21;064192_22;064193_23;064194_24;064195_25;064196_26;064198_28;064201_31;064203_33;064204_34;064205_35;064206_36;064207_37;064209_39;064213_43;064215_45;064217_47;064218_48;064220_50;064221_51;064223_53;064224_54;064226_56;064228_58;064230_60;064231_61;064232_62;064234_64;064235_65;064236_66;064237_67;064238_68;064242_72;064243_73;064244_74;064245_75;064246_76;064247_77;064248_78;064249_79;064250_80;064251_81;064252_82;064253_83;064255_85;064256_86;064261_91;064262_92;064264_94;064266_96;064269_99;064270_100;064271_101;064272_102;064273_103;064274_104;064275_105;064276_106;064277_107;235627_59B
fosB,AMRfinder,71,71 (66.4%),66.4%,064171_1;064172_2;064173_3;064174_4;064176_6;064178_8;064180_10;064181_11;064182_12;064183_13;064186_16;064187_17;064188_18;064191_21;064192_22;064193_23;064195_25;064196_26;064197_27;064199_29;064201_31;064202_32;064203_33;064204_34;064205_35;064206_36;064210_40;064212_42;064214_44;064215_45;064217_47;064218_48;064220_50;064221_51;064222_52;064226_56;064228_58;064231_61;064232_62;064233_63;064234_64;064235_65;064236_66;064237_67;064238_68;064239_69;064242_72;064243_73;064244_74;064245_75;064247_77;064248_78;064249_79;064251_81;064252_82;064254_84;064259_89;064260_90;064261_91;064262_92;064263_93;064264_94;064268_98;064271_101;064272_102;064273_103;064274_104;064275_105;064276_106;064277_107;235627_59B
selX,AMRfinder,67,67 (62.6%),62.6%,064171_1;064172_2;064173_3;064174_4;064176_6;064178_8;064179_9;064180_10;064181_11;064182_12;064183_13;064187_17;064190_20;064191_21;064192_22;064196_26;064197_27;064199_29;064201_31;064202_32;064203_33;064204_34;064205_35;064206_36;064210_40;064211_41;064214_44;064217_47;064219_49;064221_51;064222_52;064226_56;064230_60;064231_61;064232_62;064233_63;064234_64;064235_65;064236_66;064238_68;064241_71;064242_72;064244_74;064245_75;064247_77;064248_78;064249_79;064251_81;064252_82;064254_84;064257_87;064259_89;064260_90;064261_91;064262_92;064263_93;064264_94;064265_95;064267_97;064268_98;064272_102;064273_103;064274_104;064275_105;064276_106;064277_107;235627_59B
sei,AMRfinder,64,64 (59.8%),59.8%,064171_1;064172_2;064174_4;064176_6;064178_8;064180_10;064182_12;064183_13;064186_16;064187_17;064191_21;064192_22;064193_23;064196_26;064200_30;064201_31;064203_33;064204_34;064205_35;064206_36;064208_38;064214_44;064215_45;064216_46;064217_47;064220_50;064221_51;064222_52;064225_55;064226_56;064227_57;064228_58;064231_61;064232_62;064234_64;064235_65;064236_66;064238_68;064240_70;064241_71;064242_72;064243_73;064244_74;064245_75;064247_77;064248_78;064249_79;064251_81;064252_82;064254_84;064258_88;064259_89;064261_91;064262_92;064264_94;064268_98;064271_101;064272_102;064273_103;064274_104;064275_105;064276_106;064277_107;235627_59B
sem,AMRfinder,63,63 (58.9%),58.9%,064171_1;064172_2;064174_4;064176_6;064178_8;064180_10;064182_12;064183_13;064186_16;064187_17;064191_21;064192_22;064193_23;064196_26;064200_30;064201_31;064203_33;064204_34;064205_35;064206_36;064208_38;064214_44;064215_45;064216_46;064217_47;064220_50;064221_51;064222_52;064225_55;064226_56;064227_57;064228_58;064231_61;064232_62;064234_64;064235_65;064236_66;064238_68;064240_70;064242_72;064243_73;064244_74;064245_75;064247_77;064248_78;064249_79;064251_81;064252_82;064254_84;064258_88;064259_89;064261_91;064262_92;064264_94;064268_98;064271_101;064272_102;064273_103;064274_104;064275_105;064276_106;064277_107;235627_59B
seu,AMRfinder,63,63 (58.9%),58.9%,064171_1;064172_2;064174_4;064176_6;064178_8;064180_10;064182_12;064183_13;064186_16;064187_17;064191_21;064192_22;064193_23;064196_26;064200_30;064201_31;064203_33;064204_34;064205_35;064206_36;064208_38;064214_44;064215_45;064216_46;064217_47;064220_50;064221_51;064222_52;064225_55;064226_56;064227_57;064228_58;064231_61;064232_62;064234_64;064235_65;064236_66;064238_68;064240_70;064242_72;064243_73;064244_74;064245_75;064247_77;064248_78;064249_79;064251_81;064252_82;064254_84;064258_88;064259_89;064261_91;064262_92;064264_94;064268_98;064271_101;064272_102;064273_103;064274_104;064275_105;064276_106;064277_107;235627_59B
mecA,AMRfinder,58,58 (54.2%),54.2%,064171_1;064172_2;064174_4;064176_6;064178_8;064179_9;064180_10;064181_11;064182_12;064190_20;064191_21;064192_22;064194_24;064196_26;064197_27;064199_29;064201_31;064203_33;064204_34;064206_36;064207_37;064210_40;064217_47;064221_51;064223_53;064224_54;064226_56;064230_60;064231_61;064232_62;064233_63;064234_64;064235_65;064236_66;064238_68;064244_74;064247_77;064248_78;064249_79;064250_80;064251_81;064252_82;064254_84;064256_86;064257_87;064259_89;064261_91;064262_92;064264_94;064265_95;064268_98;064270_100;064272_102;064273_103;064274_104;064275_105;064277_107;235627_59B
sak,AMRfinder,57,57 (53.3%),53.3%,064175_5;064177_7;064179_9;064183_13;064184_14;064185_15;064186_16;064187_17;064189_19;064190_20;064193_23;064194_24;064197_27;064198_28;064199_29;064200_30;064205_35;064207_37;064208_38;064209_39;064210_40;064211_41;064214_44;064215_45;064216_46;064219_49;064220_50;064222_52;064223_53;064224_54;064225_55;064227_57;064228_58;064230_60;064233_63;064235_65;064240_70;064241_71;064242_72;064243_73;064245_75;064246_76;064250_80;064253_83;064255_85;064256_86;064257_87;064258_88;064260_90;064265_95;064266_96;064267_97;064268_98;064269_99;064270_100;064271_101;064276_106
seo,AMRfinder,56,56 (52.3%),52.3%,064171_1;064172_2;064174_4;064176_6;064178_8;064180_10;064182_12;064183_13;064187_17;064191_21;064192_22;064196_26;064200_30;064201_31;064203_33;064204_34;064205_35;064206_36;064208_38;064214_44;064216_46;064217_47;064221_51;064222_52;064225_55;064226_56;064227_57;064231_61;064232_62;064234_64;064235_65;064236_66;064238_68;064240_70;064242_72;064244_74;064245_75;064247_77;064248_78;064249_79;064251_81;064252_82;064254_84;064258_88;064259_89;064261_91;064262_92;064264_94;064268_98;064272_102;064273_103;064274_104;064275_105;064276_106;064277_107;235627_59B
sen,AMRfinder,56,56 (52.3%),52.3%,064171_1;064172_2;064174_4;064176_6;064178_8;064180_10;064182_12;064183_13;064187_17;064191_21;064192_22;064196_26;064200_30;064201_31;064203_33;064204_34;064205_35;064206_36;064208_38;064214_44;064216_46;064217_47;064221_51;064222_52;064225_55;064226_56;064227_57;064231_61;064232_62;064234_64;064235_65;064236_66;064238_68;064240_70;064242_72;064244_74;064245_75;064247_77;064248_78;064249_79;064251_81;064252_82;064254_84;064258_88;064259_89;064261_91;064262_92;064264_94;064268_98;064272_102;064273_103;064274_104;064275_105;064276_106;064277_107;235627_59B
aac(6')-Ie/aph(2'')-Ia,AMRfinder,54,54 (50.5%),50.5%,064171_1;064172_2;064173_3;064174_4;064176_6;064178_8;064179_9;064180_10;064182_12;064190_20;064191_21;064192_22;064196_26;064197_27;064199_29;064202_32;064203_33;064204_34;064215_45;064217_47;064220_50;064221_51;064226_56;064228_58;064230_60;064231_61;064232_62;064234_64;064236_66;064237_67;064238_68;064244_74;064247_77;064248_78;064249_79;064251_81;064252_82;064254_84;064256_86;064257_87;064259_89;064260_90;064261_91;064262_92;064263_93;064264_94;064265_95;064271_101;064272_102;064273_103;064274_104;064275_105;064277_107;235627_59B
cna,AMRfinder,53,53 (49.5%),49.5%,064171_1;064172_2;064174_4;064178_8;064180_10;064182_12;064183_13;064184_14;064185_15;064186_16;064189_19;064192_22;064193_23;064194_24;064196_26;064198_28;064203_33;064204_34;064205_35;064206_36;064207_37;064209_39;064213_43;064215_45;064217_47;064220_50;064221_51;064224_54;064226_56;064228_58;064235_65;064236_66;064242_72;064243_73;064245_75;064247_77;064248_78;064250_80;064251_81;064252_82;064253_83;064255_85;064256_86;064259_89;064261_91;064262_92;064269_99;064270_100;064271_101;064272_102;064273_103;064274_104;235627_59B
ant(6)-Ia,AMRfinder,53,53 (49.5%),49.5%,064171_1;064172_2;064173_3;064174_4;064176_6;064178_8;064179_9;064180_10;064182_12;064191_21;064192_22;064196_26;064201_31;064202_32;064203_33;064204_34;064206_36;064211_41;064215_45;064217_47;064219_49;064220_50;064221_51;064226_56;064228_58;064231_61;064232_62;064234_64;064236_66;064238_68;064244_74;064247_77;064248_78;064249_79;064251_81;064252_82;064254_84;064257_87;064259_89;064260_90;064261_91;064262_92;064263_93;064264_94;064265_95;064267_97;064271_101;064272_102;064273_103;064274_104;064275_105;064277_107;235627_59B
sat4,AMRfinder,53,53 (49.5%),49.5%,064171_1;064172_2;064173_3;064174_4;064176_6;064178_8;064179_9;064180_10;064182_12;064191_21;064192_22;064196_26;064201_31;064202_32;064203_33;064204_34;064206_36;064211_41;064215_45;064217_47;064219_49;064220_50;064221_51;064226_56;064228_58;064231_61;064232_62;064234_64;064236_66;064238_68;064244_74;064247_77;064248_78;064249_79;064251_81;064252_82;064254_84;064257_87;064259_89;064260_90;064261_91;064262_92;064263_93;064264_94;064265_95;064267_97;064271_101;064272_102;064273_103;064274_104;064275_105;064277_107;235627_59B
aph(3')-IIIa,AMRfinder,53,53 (49.5%),49.5%,064171_1;064172_2;064173_3;064174_4;064176_6;064178_8;064179_9;064180_10;064182_12;064191_21;064192_22;064196_26;064201_31;064202_32;064203_33;064204_34;064206_36;064211_41;064215_45;064217_47;064219_49;064220_50;064221_51;064226_56;064228_58;064231_61;064232_62;064234_64;064236_66;064238_68;064244_74;064247_77;064248_78;064249_79;064251_81;064252_82;064254_84;064257_87;064259_89;064260_90;064261_91;064262_92;064263_93;064264_94;064265_95;064267_97;064271_101;064272_102;064273_103;064274_104;064275_105;064277_107;235627_59B
gyrA_S84L,AMRfinder,51,51 (47.7%),47.7%,064171_1;064172_2;064173_3;064174_4;064176_6;064178_8;064179_9;064180_10;064181_11;064182_12;064191_21;064192_22;064196_26;064201_31;064202_32;064203_33;064204_34;064206_36;064211_41;064217_47;064219_49;064221_51;064226_56;064231_61;064232_62;064233_63;064234_64;064236_66;064238_68;064244_74;064247_77;064248_78;064249_79;064251_81;064252_82;064254_84;064257_87;064259_89;064260_90;064261_91;064262_92;064263_93;064264_94;064265_95;064267_97;064272_102;064273_103;064274_104;064275_105;064277_107;235627_59B
sea,AMRfinder,49,49 (45.8%),45.8%,064171_1;064172_2;064173_3;064174_4;064176_6;064178_8;064180_10;064181_11;064182_12;064191_21;064192_22;064195_25;064196_26;064197_27;064198_28;064199_29;064201_31;064203_33;064204_34;064206_36;064210_40;064217_47;064218_48;064221_51;064226_56;064231_61;064232_62;064233_63;064234_64;064236_66;064237_67;064238_68;064244_74;064247_77;064248_78;064249_79;064251_81;064252_82;064260_90;064261_91;064262_92;064264_94;064269_99;064272_102;064273_103;064274_104;064275_105;064277_107;235627_59B
