"AMR_Class","Spearman_rho"
"Aminoglycoside",0.482128902656778
"Other",0.478343094009849
"Beta_lactam",0.462135766147322
"Macrolide",0.384012823022168
"Fosfomycin",0.351557847382463
"Trimethoprim",0.206550782446484
"Chloramphenicol",-0.135106944117074
"Biocide",0.0936950651077469
"Tetracycline",-0.081805204122848
"Mupirocin",0.061723597662167
"Lincosamide",-0.0507044717747206
